[05/08/2026-11:04:27] - Carga de habitación: Código: 1, Nombre: Altillo, Planta: 2, Metros Cuadrados: 10.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 2, Nombre: Baño, Planta: 0, Metros Cuadrados: 10.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 3, Nombre: Biblioteca, Planta: 1, Metros Cuadrados: 20.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 4, Nombre: Bodega, Planta: -1, Metros Cuadrados: 20.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 5, Nombre: Cochera, Planta: 0, Metros Cuadrados: 20.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 6, Nombre: Cocina, Planta: 0, Metros Cuadrados: 15.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 7, Nombre: Comedor, Planta: 0, Metros Cuadrados: 20.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 8, Nombre: Depósito, Planta: -1, Metros Cuadrados: 30.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 9, Nombre: Despensa, Planta: 0, Metros Cuadrados: 20.0, Salida Exterior: true
[05/08/2026-11:04:27] - Carga de habitación: Código: 10, Nombre: Dormitorio principal, Planta: 1, Metros Cuadrados: 20.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 11, Nombre: Dormitorio de huéspedes, Planta: 1, Metros Cuadrados: 15.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 12, Nombre: Escalera, Planta: 0, Metros Cuadrados: 10.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 13, Nombre: Escritorio, Planta: 1, Metros Cuadrados: 10.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 14, Nombre: Gimnasio, Planta: 0, Metros Cuadrados: 25.0, Salida Exterior: false
[05/08/2026-11:04:27] - Carga de habitación: Código: 15, Nombre: Invernadero, Planta: 0, Metros Cuadrados: 25.0, Salida Exterior: true
